Country Name,Country Code,Indicator Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,Adjusted net national income (current US$),8818972218,9040694514,11077800275,14026799907,15904209629,18125555845,17745436908,17968989125,16676003960,16973995671
Angola,AGO,Adjusted net national income (current US$),13213223807,5477560658,20353431695,25594840087,29490413929,37306384633,48225504768,56286788718,57473563463,51214444003
Albania,ALB,Adjusted net national income (current US$),9930523938,11675251404,10606080149,10283121515,11187226640,10560919140,11193877988,11375044905,9963561540,10373819773
United Arab Emirates,ARE,Adjusted net national income (current US$),2.27E+11,2.68E+11,2.19E+11,2.63E+11,3.13E+11,3.34E+11,3.53E+11,3.65E+11,3.31E+11,3.21E+11
Argentina,ARG,Adjusted net national income (current US$),2.43E+11,3.05E+11,2.82E+11,3.61E+11,4.55E+11,4.71E+11,4.77E+11,4.53E+11,5.09E+11,4.70E+11
Armenia,ARM,Adjusted net national income (current US$),8466157051,10881492194,7867009459,8396311554,9039520654,9453686906,10168475910,10432546682,9257712139,9031276035
Australia,AUS,Adjusted net national income (current US$),6.45E+11,7.96E+11,7.17E+11,8.79E+11,1.06E+12,1.19E+12,1.22E+12,1.12E+12,1.05E+12,9.41E+11
Austria,AUT,Adjusted net national income (current US$),3.25E+11,3.62E+11,3.30E+11,3.26E+11,3.57E+11,3.37E+11,3.54E+11,3.62E+11,3.11E+11,3.20E+11
Azerbaijan,AZE,Adjusted net national income (current US$),17582695404,28982431004,30465397736,35500110264,42554261226,47884928367,54380085808,58227399792,43217206991,28051379288
Burundi,BDI,Adjusted net national income (current US$),721662881.6,856124019,968476812.5,1287175737,1501448263,1771918847,1973064380,2296404537,2218416730,2122720795
Belgium,BEL,Adjusted net national income (current US$),3.93E+11,4.34E+11,3.91E+11,4.06E+11,4.30E+11,4.12E+11,4.27E+11,4.31E+11,3.66E+11,3.77E+11
Benin,BEN,Adjusted net national income (current US$),5058095423,6066146307,5982247043,5862986064,6595986386,6832146672,7661879871,8123731563,6930720578,7141447279
Burkina Faso,BFA,Adjusted net national income (current US$),5866048867,7115529671,6975652432,7094640883,8056189041,8573639520,9245466953,9400145698,7515369621,8486793116
Bangladesh,BGD,Adjusted net national income (current US$),76782468205,89532662446,1.01E+11,1.13E+11,1.26E+11,1.31E+11,1.48E+11,1.68E+11,1.89E+11,2.13E+11
Bulgaria,BGR,Adjusted net national income (current US$),34966504680,44761564336,43197451162,41270031202,46650894849,45055288745,46431387046,47415149059,41613252638,45091137302
Bahrain,BHR,Adjusted net national income (current US$),19047576061,21957059295,18247684751,20812360584,22026334511,23144994960,24460440120,23624337291,26248775508,26945287873
"Bahamas, The",BHS,Adjusted net national income (current US$),7534741369,7579961166,7111218504,7109346206,7106036805,9766175847,9622523057,9621245540,9833899531,9625653590
Bosnia and Herzegovina,BIH,Adjusted net national income (current US$),14430053800,17560087163,16171988301,15283282542,16240535371,14841853015,15922341751,16119123746,14032775052,14525192651
Belarus,BLR,Adjusted net national income (current US$),40210931178,54158925940,43366895170,50916515725,54965068885,58390745443,66314505717,69500774197,49067031940,40828164124
Belize,BLZ,Adjusted net national income (current US$),898301790.1,920517831.7,983009342.1,959732996.7,1060007673,1140244369,1182402235,1271890913,1365241337,1349066136
Bolivia,BOL,Adjusted net national income (current US$),10039474163,13240514879,14178745561,15756933044,18478959056,20329425961,22993431154,24877411667,26645483777,27529104660
Brazil,BRA,Adjusted net national income (current US$),1.14E+12,1.37E+12,1.38E+12,1.84E+12,2.18E+12,2.07E+12,2.11E+12,2.07E+12,1.54E+12,1.53E+12
Barbados,BRB,Adjusted net national income (current US$),3822799596,3867311800,3766854018,3856984466,3815684868,3926282570,3906494867,3902285067,3870514405,3818070457
Brunei Darussalam,BRN,Adjusted net national income (current US$),9262166794,10698949996,8518548496,10488553642,12733600854,13521479923,13762651841,13565461536,11632776980,10499157528
Bhutan,BTN,Adjusted net national income (current US$),1056308939,1094381326,1087203253,1323624351,1514474489,1499592086,1501648770,1623008827,1662886902,1754481237
Botswana,BWA,Adjusted net national income (current US$),7613670283,7643977937,7108136389,9237607141,12304281826,11445165402,11208981112,12325653003,11167173963,11969738067
Canada,CAN,Adjusted net national income (current US$),1.19E+12,1.24E+12,1.10E+12,1.31E+12,1.45E+12,1.48E+12,1.50E+12,1.46E+12,1.26E+12,1.24E+12
Switzerland,CHE,Adjusted net national income (current US$),3.85E+11,4.03E+11,4.35E+11,4.97E+11,5.63E+11,5.45E+11,5.60E+11,5.65E+11,5.53E+11,5.31E+11
Chile,CHL,Adjusted net national income (current US$),1.13E+11,1.24E+11,1.25E+11,1.56E+11,1.82E+11,1.99E+11,2.11E+11,2.00E+11,1.91E+11,1.95E+11
China,CHN,Adjusted net national income (current US$),2.97E+12,3.72E+12,4.25E+12,4.91E+12,5.89E+12,6.76E+12,7.49E+12,8.27E+12,8.71E+12,8.70E+12
Cote d'Ivoire,CIV,Adjusted net national income (current US$),18056301845,21459536076,22014198840,22498041484,22428943602,24321559639,28132570630,32841095891,30504350659,33323837388
Cameroon,CMR,Adjusted net national income (current US$),18150345521,20984895487,22006152290,21641709603,23932942437,23456383798,26124484501,28904348225,26054207343,26907958837
"Congo, Dem. Rep.",COD,Adjusted net national income (current US$),11367827327,12734010739,12335907236,14688958116,15978228806,18329479660,20904495314,23403186324,26342159189,26138587178
"Congo, Rep.",COG,Adjusted net national income (current US$),1233419808,2069263375,2680196374,2239617220,1402928463,2115400618,3810304239,4965402590,5566852289,4617751453
